Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
180.08557,C01077,M+H2O+H[1+],0.6456,0.00110646677003956,EC00090
200.031,C01077,M+K[1+],0.932,0.00057646677001344,EC00090
569.31225,C01079,M+H[1+],5.6803,2.64667700093923e-05,EC000100
365.10439,C01083,M+Na[1+],0.966,0.00108646677000479,EC00016
381.07787,C01083,M+K[1+],0.7696,0.0011064667699543,EC00016
170.11649,C01092,M-H2O+H[1+],4.9064,0.000986466770001471,EC000101
188.12711,C01092,M+H[1+],5.1581,0.000966466770023544,EC000102
188.1272,C01092,M+H[1+],4.9051,0.000876466770023399,EC000101
210.109,C01092,M+Na[1+],4.9067,0.00107646677000162,EC000101
210.10915,C01092,M+Na[1+],5.2444,0.000926466770010848,EC000102
210.11149,C01092,M+Na[1+],3.854,0.00141353322999294,EC000103
210.11152,C01092,M+Na[1+],6.2957,0.00144353323000246,EC000104
189.01505,C01094,M-C3H4O2+H[1+],0.76,0.000826466770007528,EC00015
233.04104,C01094,M-CO+H[1+],0.8251,0.0009364667699856,EC00015
261.03568,C01094,M+H[1+],0.9009,0.00129646676998618,EC00015
189.01505,C01097,M-C3H4O2+H[1+],0.76,0.000826466770007528,EC00015
233.04104,C01097,M-CO+H[1+],0.8251,0.0009364667699856,EC00015
261.03568,C01097,M+H[1+],0.9009,0.00129646676998618,EC00015
116.06968,C01102,M-HCOOK+H[1+],0.7877,0.000896466769987114,EC000105
154.02548,C01102,M-HCOOH+H[1+],0.7847,0.000996466770004645,EC000105
156.04132,C01102,M-CO2+H[1+],0.8025,0.000756466769985309,EC000105
200.031,C01102,M+H[1+],0.932,0.000876466769994977,EC000105
218.04143,C01102,M+H2O+H[1+],0.6786,0.00104646677002052,EC000105
381.08247,C01134,M+Na[1+],8.3419,0.00320646676999559,EC000106
356.16373,C01137,M+H[1+],8.8845,0.00125353322999899,EC000107
154.04884,C01157,M+Na[1+],3.9883,0.00136353323000549,EC00066
367.33846,C01164,M-H2O+H[1+],8.0739,0.00258353322999483,EC000108
154.04884,C01165,M+Na[1+],3.9883,0.00136353323000549,EC00066
189.01505,C01172,M-C3H4O2+H[1+],0.76,0.000826466770007528,EC00015
233.04104,C01172,M-CO+H[1+],0.8251,0.0009364667699856,EC00015
261.03568,C01172,M+H[1+],0.9009,0.00129646676998618,EC00015
189.01505,C01177,M-C3H4O2+H[1+],0.76,0.000826466770007528,EC00015
233.04104,C01177,M-CO+H[1+],0.8251,0.0009364667699856,EC00015
261.03568,C01177,M+H[1+],0.9009,0.00129646676998618,EC00015
181.04852,C01179,M+H[1+],8.3491,0.00105646677002369,EC000109
369.35289,C01189,M-H2O+H[1+],8.3068,0.00131353323001804,EC00030
569.31225,C01230,M-H2O+H[1+],5.6803,0.00322646677011562,EC000110
203.02153,C01267,M-H2O+H[1+],2.2755,4.64667699873189e-05,EC000111
267.26658,C01530,M-H2O+H[1+],10.0102,0.00159646677002456,EC000112
307.26189,C01530,M+Na[1+],10.554,0.00111353322995456,EC000113
245.22519,C01595,M-H4O2+H[1+],8.8635,0.00108646677003321,EC000114
245.22521,C01595,M-H4O2+H[1+],8.5744,0.00106646677002686,EC000114
245.22522,C01595,M-H4O2+H[1+],8.7249,0.00105646677002369,EC000114
245.22524,C01595,M-H4O2+H[1+],9.1357,0.00103646677001734,EC000114
245.22526,C01595,M-H4O2+H[1+],9.5808,0.00101646677003941,EC000115
253.25149,C01595,M-CO+H[1+],8.8469,0.000986466770029892,EC000114
263.23565,C01595,M-H2O+H[1+],8.9626,0.00122646676999238,EC000114
263.23568,C01595,M-H2O+H[1+],8.6961,0.00119646677001128,EC000114
263.23571,C01595,M-H2O+H[1+],7.6941,0.00116646677003018,EC000116
263.23572,C01595,M-H2O+H[1+],8.5462,0.00115646676999859,EC000114
263.23573,C01595,M-H2O+H[1+],9.1377,0.00114646677002384,EC000114
263.23574,C01595,M-H2O+H[1+],9.957,0.00113646676999224,EC000117
263.2358,C01595,M-H2O+H[1+],9.5828,0.00107646677003004,EC000115
281.24593,C01595,M+H[1+],7.6935,0.00154646677003711,EC000116
281.24623,C01595,M+H[1+],8.8446,0.00124646676999873,EC000114
281.24626,C01595,M+H[1+],9.9551,0.00121646677001763,EC000117
281.24633,C01595,M+H[1+],9.5821,0.00114646677002384,EC000115
281.24686,C01595,M+H[1+],8.5357,0.000616466769997714,EC000114
299.25665,C01595,M+H2O+H[1+],9.154,0.00142646677005587,EC000114
299.25673,C01595,M+H2O+H[1+],9.0104,0.00134646677003047,EC000114
299.25679,C01595,M+H2O+H[1+],8.844,0.00128646677001143,EC000114
299.2574,C01595,M+H2O+H[1+],7.6947,0.000676466770016759,EC000116
299.25976,C01595,M+H2O+H[1+],8.5205,0.00168353322999337,EC000114
303.22786,C01595,M+Na[1+],9.6361,0.00161646677003091,EC000115
349.23315,C01595,M+HCOONa[1+],8.4593,0.00172646676998056,EC000114
349.23386,C01595,M+HCOONa[1+],8.6629,0.00101646677001099,EC000114
349.23432,C01595,M+HCOONa[1+],8.7367,0.00055646676997867,EC000114
103.12205,C01672,M+H[1+],0.6398,0.000926466769996637,EC000118
409.38133,C01724,M-H2O+H[1+],9.3398,0.00154646676998027,EC00095
409.38135,C01724,M-H2O+H[1+],9.0658,0.00152646676997392,EC00096
409.38136,C01724,M-H2O+H[1+],10.7607,0.00151646676999917,EC00097
409.38138,C01724,M-H2O+H[1+],10.5527,0.00149646676999282,EC00097
409.38139,C01724,M-H2O+H[1+],9.9468,0.00148646676996123,EC00098
409.3814,C01724,M-H2O+H[1+],9.6622,0.00147646676998647,EC00099
