CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2490	3021	47	0.9305	-28.021
2304	2342	48	0.7429	15.996
2304	2815	48	0.7023	15.997
2579	3186	49	0.9376	-68.063
523	564	50	0.759	-43.990
2679	2702	51	0.7667	12.000
2388	2935	52	0.7016	-56.070
2935	3247	52	0.7523	-28.024
325	409	53	0.7956	-14.016
408	409	53	0.7456	-18.011
409	580	53	0.7131	-97.053
1439	1506	55	0.8263	-0.002
2105	2113	58	0.7246	2.004
2205	3412	61	0.7556	-249.230
2885	3266	62	0.8007	-26.015
553	559	63	0.8696	30.011
352	363	64	0.7118	-162.053
445	471	72	0.8699	0.000
96	99	73	0.872	0.014
1264	1582	76	0.937	0.000
